event_uid,amount,tx_type,account_age_days,mcc,is_vpn,predicted_label,model_probability,model_confidence,risk_score,risk_level,task_path,reviewed_label,reviewed_by,reviewed_at,review_note
DEMO-000101,1366.25,0,2225,4814,false,light,0.0935,0.813,9.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000102,1070.9,2,2461,5411,false,light,0.1223,0.7553,12.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000103,998.79,2,15,5411,false,light,0.2266,0.5468,22.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-000104,4185.3,0,0,7995,true,heavy,0.7371,0.4743,73.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-000105,12100.63,1,44,5411,false,heavy,0.6749,0.3499,67.5,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000106,19479.81,1,24,5411,false,heavy,0.7644,0.5289,76.4,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000107,2049.08,1,679,5411,false,light,0.4325,0.135,43.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000108,1395.18,2,2104,5411,false,light,0.0792,0.8416,7.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000109,27464.3,1,27,5411,false,heavy,0.7024,0.4047,70.2,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000110,5238.69,2,1716,4814,false,light,0.1126,0.7749,11.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000111,2412.37,2,589,5411,false,light,0.1428,0.7143,14.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000112,1108.47,2,14,5411,false,light,0.2828,0.4344,28.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-000113,6628.82,0,360,4814,false,light,0.4302,0.1396,43.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000114,7646.56,0,268,4814,false,light,0.3714,0.2573,37.1,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000115,2052.89,1,896,5411,false,light,0.3054,0.3892,30.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000116,2138.05,0,5,7995,true,heavy,0.7104,0.4207,71.0,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-000117,1033.33,1,522,5411,false,light,0.4496,0.1009,45.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000118,7685.67,0,227,4814,false,light,0.3043,0.3914,30.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000119,5504.6,0,238,5411,false,light,0.0932,0.8136,9.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000120,1626.95,1,991,5411,false,light,0.2323,0.5353,23.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000121,5709.36,0,4,7995,true,heavy,0.6818,0.3635,68.2,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-000122,48862.62,0,1674,6011,false,heavy,0.706,0.412,70.6,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-000123,37998.65,0,1591,6011,false,heavy,0.7231,0.4462,72.3,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-000124,70044.35,0,45,7995,true,heavy,0.7639,0.5279,76.4,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000125,31549.73,2,1864,5411,false,light,0.3031,0.3937,30.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-000126,4972.08,0,9,7995,true,heavy,0.7306,0.4611,73.1,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-000127,21447.2,1,89,5411,false,light,0.6776,0.3551,67.8,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Human reviewer corrected the original model. Cashout interaction pattern was corrected by human reviewers
DEMO-000128,1904.2,1,1644,5411,false,light,0.4279,0.1442,42.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000129,5031.24,2,358,4814,false,light,0.1182,0.7637,11.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000130,17782.18,1,1,6011,true,heavy,0.6692,0.3385,66.9,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-000131,74630.69,1,33,7995,false,heavy,0.9259,0.8518,92.6,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000132,5383.36,2,996,5411,false,light,0.1217,0.7566,12.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000133,811.88,1,1511,5411,false,light,0.4388,0.1224,43.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000134,22600.56,2,1864,5411,false,light,0.4405,0.1191,44.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-000135,6643.55,0,232,4814,false,light,0.3887,0.2227,38.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000136,8249.34,0,375,4814,false,light,0.2724,0.4553,27.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000137,41095.31,2,2657,5411,false,light,0.4671,0.0659,46.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-000138,1215.11,1,762,5411,false,light,0.2531,0.4938,25.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000139,5884.0,0,362,5411,false,light,0.0883,0.8234,8.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000140,2678.86,2,2314,4814,false,light,0.0527,0.8945,5.3,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000141,38403.31,2,1197,5411,false,light,0.3566,0.2867,35.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-000142,7410.45,0,2289,5411,false,light,0.1537,0.6926,15.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000143,8168.58,1,12,6011,true,heavy,0.7677,0.5355,76.8,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-000144,411.84,1,881,5411,false,light,0.3225,0.3551,32.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000145,2332.26,1,920,5411,false,light,0.4688,0.0624,46.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000146,1109.93,2,677,5411,false,light,0.1051,0.7898,10.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000147,89837.08,1,6,7995,true,heavy,0.9663,0.9326,96.6,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000148,2952.04,0,1974,5411,false,light,0.092,0.8159,9.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000149,6734.14,0,94,4814,false,light,0.2283,0.5433,22.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000150,38688.73,0,934,6011,false,heavy,0.691,0.3821,69.1,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-000151,377.68,2,14,5411,false,light,0.4478,0.1044,44.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-000152,35909.5,0,1089,6011,false,heavy,0.63,0.2601,63.0,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-000153,39914.35,0,53,6011,true,heavy,0.9526,0.9052,95.3,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000154,23507.01,1,34,5411,false,heavy,0.6991,0.3982,69.9,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000155,650.88,2,10,5411,false,light,0.4152,0.1695,41.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Young account alone does not require heavy processing
DEMO-000156,42409.49,0,36,6011,false,heavy,0.8451,0.6901,84.5,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000157,1463.86,1,1419,5411,false,light,0.2622,0.4757,26.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000158,3641.79,0,7,7995,true,heavy,0.6462,0.2925,64.6,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-000159,2022.8,2,2436,4814,false,light,0.2082,0.5836,20.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000160,26169.02,1,31,5411,false,heavy,0.7645,0.5289,76.4,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000161,14691.23,1,9,6011,true,heavy,0.7449,0.4898,74.5,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-000162,4605.39,2,2190,4814,false,light,0.1881,0.6237,18.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000163,14559.2,1,1,6011,true,heavy,0.762,0.524,76.2,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-000164,2233.06,1,812,5411,false,light,0.3602,0.2796,36.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000165,2338.7,0,3,7995,true,heavy,0.6177,0.2354,61.8,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-000166,18727.79,1,103,5411,false,heavy,0.5762,0.1525,57.6,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000167,17469.59,1,5,6011,true,heavy,0.7734,0.5468,77.3,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-000168,22536.1,2,2260,5411,false,light,0.2972,0.4056,29.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,High amount from a mature account remains a light merchant-payment path
DEMO-000169,1290.88,0,1356,5411,false,light,0.0772,0.8455,7.7,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000170,86729.55,1,20,7995,true,heavy,0.9623,0.9246,96.2,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000171,36686.03,0,1774,6011,false,heavy,0.7496,0.4992,75.0,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-000172,8485.95,1,6,6011,true,heavy,0.726,0.452,72.6,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-000173,16335.71,1,27,5411,false,heavy,0.6963,0.3926,69.6,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000174,4229.89,0,1413,5411,false,light,0.0754,0.8493,7.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000175,8314.23,1,1,6011,true,heavy,0.6979,0.3958,69.8,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-000176,16320.51,1,45,5411,false,heavy,0.7183,0.4366,71.8,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Cashout interaction pattern was corrected by human reviewers
DEMO-000177,33027.43,0,14,6011,true,heavy,0.9391,0.8783,93.9,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000178,6906.15,0,935,5411,false,light,0.1039,0.7923,10.4,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000179,90083.47,1,14,7995,true,heavy,0.7699,0.5398,77.0,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000180,92097.04,1,49,6011,true,heavy,0.8712,0.7424,87.1,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000181,45530.52,0,20,7995,true,heavy,0.771,0.5419,77.1,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000182,77919.86,1,38,7995,false,heavy,0.8422,0.6844,84.2,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000183,6887.03,0,242,4814,false,light,0.1924,0.6153,19.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low-complexity trusted transaction suitable for the fast path
DEMO-000184,1504.55,0,4,7995,true,heavy,0.6224,0.2448,62.2,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,Low amount with masked gambling merchant pattern requires deep checks
DEMO-000185,4942.56,0,360,4814,false,light,0.2446,0.5108,24.5,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000186,82216.76,1,54,6011,true,heavy,0.9474,0.8949,94.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000187,7653.33,0,377,4814,false,light,0.4023,0.1954,40.2,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000188,48973.54,0,1625,6011,false,heavy,0.6932,0.3865,69.3,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-000189,66162.79,1,28,7995,false,heavy,0.9694,0.9388,96.9,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000190,85812.87,1,19,7995,true,heavy,0.9037,0.8074,90.4,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000191,2115.73,1,790,5411,false,light,0.24,0.52,24.0,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000192,57587.17,0,48,6011,true,heavy,0.799,0.598,79.9,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000193,48326.68,1,20,6011,false,heavy,0.9425,0.8851,94.3,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000194,57656.6,1,8,6011,true,heavy,0.7837,0.5674,78.4,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000195,5942.15,0,311,4814,false,light,0.3276,0.3449,32.8,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Normal transfer with no elevated factors remains light
DEMO-000196,32874.66,0,1464,6011,false,heavy,0.6233,0.2465,62.3,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-value transfer requires enhanced processing despite established account
DEMO-000197,76558.48,1,45,6011,true,heavy,0.8746,0.7492,87.5,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
DEMO-000198,10386.82,1,10,6011,true,heavy,0.644,0.288,64.4,medium,ENHANCED VERIFICATION,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,"Moderate amount but new account, cashout, and VPN require heavy review"
DEMO-000199,1216.87,1,518,5411,false,light,0.3285,0.3429,32.9,low,LIGHT FAST-PATH,light,pre-hackathon-team,2026-07-20T10:00:00+00:00,Small cashout from an established account is confirmed light
DEMO-000200,55169.06,1,45,6011,true,heavy,0.9067,0.8134,90.7,high,DEEP FRAUD CHECK,heavy,pre-hackathon-team,2026-07-20T10:00:00+00:00,High-complexity transaction requiring enhanced verification
